object,distance
LFAM 7,149.92503748125938
CC Cas,1000.0
LFAM 3,149.92503748125938
LFAM 1,149.92503748125938
RR Tel,2597.402597402597
75 SIG Gem,37.481259370314845
L 1641 NE,454.5454545454545
CHI Cyg,106.04453870625663
V 837 Tau,37.3412994772218
Haro 2-38,8103.727714748785
HR 6003,130.718954248366
DM -58 2661,2597.402597402597
KAP Ret,21.436227224008576
ROC - 32,149.92503748125938
ROC - 31,149.92503748125938
BH CVn,44.52359750667854
CM Dra,15.15151515151515
AR Psc,45.187528242205154
3 Sco,139.66480446927372
DM -01 2816,113.37868480725623
V 815 Her,32.583903551645484
V 3804 Sgr,10000.0
R Cas,106.72358591248666
AS 205,149.92503748125938
UX Tau,140.84507042253523
V 1156 Ori,454.5454545454545
Gliese 755,20.855057351407712
Algol,28.457598178713713
RX J0219.7-102,140.84507042253523
HD 279899,140.84507042253523
V 772 Her,37.721614485099956
ETA Sgr,45.72473708276177
DM +56 2617,359.71223021582733
SIG Ori E,641.025641025641
HR 6718,143.0615164520744
DM -46 6388,84.7457627118644
HR 5967,161.55088852988692
YY Men,291.5451895043731
RZ Cas,62.53908692933083
SS 1-138,7002.801120448179
IQ Aur,137.36263736263737
HR 6091,26.816840976133015
HR 5356,17.78410101369376
HR 407,76.86395080707148
W Hya,114.5475372279496
14 NU Sco C,149.92503748125938
DM +56 693,2197.802197802198
DM -50 5724,73.20644216691069
IRAS 05375-073,454.5454545454545
DM -53 10073,310.5590062111801
DM +43 3571,1340.4825737265414
HBC 390,140.84507042253523
HBC 391,140.84507042253523
DM -31 18145,157.2327044025157
XZ Tau,140.84507042253523
45 THE Cet,35.1123595505618
GAM Mic,68.54009595613434
9 Sgr,1600.0
V 660 Tau,126.10340479192939
66 ALF Gem B,15.805278963173699
66 ALF Gem C,15.805278963173699
66 ALF Gem A,15.805278963173699
CL Sco,2298.8505747126437
DM -06 4513,446.4285714285714
DM -28 2525,87.64241893076249
YLW 16A,149.92503748125938
AS 338,7002.801120448179
ALF For,14.112334180073383
ROC 37,149.92503748125938
Alnilam,411.5226337448559
VCLS 39,1610.3059581320451
HBC 404,140.84507042253523
RX Pup,1000.0
HR 3684,50.78720162519045
VCLS 115,2188.1838074398247
HR 5624,126.58227848101265
RY Aqr,232.5581395348837
Z Her,98.32841691248771
DM +35 4013,2092.050209205021
22 EPS UMi,106.26992561105207
EXO1811.5+4128,33.433634236041456
V 2416 Sgr,16000.0
V 711 Tau,28.968713789107763
51 Hya,53.56186395286555
UX Ari,50.22601707684581
Parenago 1925,454.5454545454545
DM +13 2618,11.428571428571427
RS CVn,108.10810810810811
ET Dra,349.65034965034965
RT Lac B,192.67822736030828
RX J0407.8+175,140.84507042253523
CC Eri,11.511453896627144
DM +22 4409,25.056376847907796
HBC 362,140.84507042253523
Parenago 1869,454.5454545454545
VCLS 89,2881.844380403458
34 DEL Ori,280.8988764044944
49 DEL Cap,11.823126034523527
DM +43 3759,93.63295880149812
AG Peg,800.0
HR 4257,29.664787896766533
RX J0409.8+244,140.84507042253523
DM -49 2323,3003.003003003003
He 3-1341,2399.808015358771
V 444 Cyg,1739.1304347826087
HR 5241,64.06149903907752
3 BET CMi,52.19206680584551
VSSG 27,149.92503748125938
27 GAM Cas,187.9699248120301
L 1551 IRS5,140.84507042253523
HR 6196,119.9040767386091
HR 6054,141.643059490085
DM -59 2561,2631.578947368421
RZ Eri,185.18518518518516
V 710 Tau,140.84507042253523
RY Tau,133.5113484646195
DM -34 15853,65.78947368421052
87 ALF Tau,19.964064683569575
VY CMa,1499.2503748125935
DM +63 83,2631.578947368421
ZZ Boo,112.61261261261261
DM -20 5516,87.71929824561403
II Peg,42.33700254022015
LFAM 18,149.92503748125938
HD 27130,46.728971962616825
DM +16 516,46.79457182966776
Elias 1 - 12,900.0090000900009
HR 6146,110.74197120708749
FS Tau A,140.84507042253523
DM -21 6267 A,8.642295393656555
DM -21 6267 B,8.642295393656555
DM -14 6070,204.0816326530612
DM +18 734,30.759766225776687
HR 9107,36.791758646063286
CN Leo,2.347417840375587
Ross 42,12.77139208173691
PI Pup,335.5704697986577
YZ CMi,5.931549913992526
Z And,1230.0123001230013
RX J0415.3+204,140.84507042253523
HR 3270,28.52253280091272
V 827 Tau,140.84507042253523
IRC 2,454.5454545454545
V 410 Tau,46.728971962616825
HD 150193,150.15015015015015
59 Ser,146.84287812041117
RW Aur,140.84507042253523
SR 12,149.92503748125938
He 3-1627,1000.0
69 Vir,79.1765637371338
HP Tau/G2,140.84507042253523
PZ Tel,49.65243296921549
AS 431,2020.2020202020203
KK Oph,210.0840336134454
DM -66 3080,31.41690229343387
He 2-171,4504.504504504504
V 502 Oph,84.45945945945947
32 IOT Cap,66.09385327164573
VCLS 141,1821.4936247723133
VCLS 145,1821.4936247723133
VCLS 9,2347.417840375587
AD Cap,191.57088122605364
DM -16 6218,21.85792349726776
RS Oph,599.880023995201
IRC +10216,200.0
25 ETA Tau,126.10340479192939
GL Lac,714.2857142857143
DM -10 4625,1300.3901170351105
THE(1) Ori H,454.5454545454545
HD 1405,21.881838074398246
HH 111 star,454.5454545454545
DM UMa,138.69625520110955
DM +17 724B,130.03901170351105
16 PSI Cap,14.671361502347418
DM +47 4058,25.278058645096053
R CrA,149.92503748125938
CF Tau,140.84507042253523
DM +09 549,154.08320493066256
ROC - 21,149.92503748125938
ROC - 20,149.92503748125938
BF Cyg,3802.2813688212927
SV Cam,84.96176720475786
37 PSI Per,214.59227467811158
82 Eri,6.059871530723549
ROX 39,149.92503748125938
19 BET Ori,236.96682464454977
WY Cnc,85.03401360544218
DM -44 11266,2298.8505747126437
HH 1-2,454.5454545454545
Alchiba,14.768867227883623
R CMa,44.03346543372963
HD 197890,44.40497335701599
DM -47 7259,389.1050583657588
UV Cet A,2.6946914578280783
UV Cet B,2.6946914578280783
22 LAM Sgr,23.696682464454977
V 393 Sco,467.2897196261682
BN Object,454.5454545454545
V 1647 Sgr,114.9425287356322
V 1054 Oph,5.739539688916949
AG Dra,699.7900629811056
V 645 Cyg,5617.9775280898875
DM +06 1309,1515.1515151515152
SS 1-126,699.7900629811056
RX J0457.0+314,140.84507042253523
RV Lib,270.27027027027026
W Ser,370.3703703703703
RX J0405.3+200,140.84507042253523
THE Hyi,161.0305958132045
RX J0413.3+181,140.84507042253523
40 OMI(2) Eri,5.044390637610976
IOT Mic,41.067761806981515
IOT Sgr,58.004640371229705
GAM Dor,20.300446609825418
AR Lac,42.034468263976464
HBC 652,149.92503748125938
V 577 Mon,4.117090040759192
DM -59 5631,62.893081761006286
CI Cyg,2100.840336134454
DM -21 4864,1579.778830963665
HD 237006,584.7953216374269
HR 7428,322.5806451612903
15 Mon,313.4796238244514
HR 5988,149.2537313432836
HH 24/26-2,454.5454545454545
FL Vir,4.329004329004329
DM +40 4124,1000.0
RX J0408.2+195,140.84507042253523
W 16-312,7812.5
31 ETA Cet,36.062026685899745
VV Mon,178.89087656529517
HD 30171,140.84507042253523
R Leo,101.31712259371835
V 2756 Sgr,3030.3030303030305
PZ Cas,5882.35294117647
6 IOT Tri,93.63295880149812
SZ Psc,88.18342151675485
VCLS 105,1579.778830963665
HR 3477,70.0770847932726
DN Ori,393.70078740157476
HP Tau/G3,140.84507042253523
HK Tau,140.84507042253523
HR 3220,21.390374331550802
IRAS 05338-062,454.5454545454545
V 367 Cyg,320.0
Parenago 1893,454.5454545454545
Parenago 1894,454.5454545454545
RX J0422.1+193,140.84507042253523
EQ Vir,19.786307874950534
THE(1) Ori E,454.5454545454545
Th 3-7,10000.0
THE(1) Ori G,454.5454545454545
THE(1) Ori A,454.5454545454545
V 826 Tau,140.84507042253523
GSS 30 - IRS2,149.92503748125938
TV Cas,254.45292620865138
EV Lac,5.048720149442117
AB Dor,14.943215780035862
V 350 Lac,122.24938875305624
VCLS 93,1739.1304347826087
VCLS 90,1968.5039370078741
RX J0457.2+152,140.84507042253523
VCLS 98,5102.04081632653
DM -57 7121,39.761431411530815
Parenago 1870,454.5454545454545
RX J0444.9+271,140.84507042253523
DM +67 1283,599.880023995201
47 Cyg,284.90028490028493
DM -54 1142,134.77088948787062
TW Dra,121.8026796589525
RX J0451.9+284,140.84507042253523
Gliese 174,13.489815189531903
U CrB,337.83783783783787
V 777 Tau,47.93863854266539
IL Hya,119.61722488038278
V 919 Sco,2000.0
Lk H ALF 101,140.84507042253523
12 DEL(2) Lyr,275.4820936639118
ROX - 8,149.92503748125938
HR 3712,33.523298692591354
ROC - 17,149.92503748125938
Haro 1-36,4504.504504504504
He 3-1475,2500.0
ER Vul A,49.85044865403789
RX J0344.8+035,140.84507042253523
48 SIG Ori,352.11267605633805
He 2-390,5208.333333333333
T Tau,176.67844522968198
Cyg OB2-8A,1801.8018018018017
HD 15570,2197.802197802198
DM -57 2420,4032.258064516129
RX J0412.8+244,140.84507042253523
XY UMa,66.26905235255136
HR 5942,149.7005988023952
DM -34 4959,130.718954248366
Hubble 4,140.84507042253523
DM -64 1685,172.1170395869191
DM +26 718B,140.84507042253523
XZ Sgr,234.19203747072604
V 1216 Sgr,2.9719448407037565
LFAM 24,149.92503748125938
ROC - 24,149.92503748125938
RW Tau,301.2048192771084
HR 6842,214.59227467811158
7 BET UMi,38.774718883288095
Kap Phe,23.52387673488591
DH Leo,32.44646333549643
V 1016 Cyg,1300.3901170351105
HR 7123,26.096033402922757
RZ Sct,260.01040041601664
31 Cyg,414.93775933609953
HR 7129,130.3780964797914
43 BET And,61.12469437652812
VCLS 112,1200.4801920768307
DM +08 102,54.94505494505494
Menkar,67.47638326585695
AD Leo,4.901960784313725
HBC 426,140.84507042253523
HBC 427,140.84507042253523
SS 1-96,1724.1379310344828
64 ALF Her,117.2332942555686
29 Dra,103.30578512396694
Y CrA,5000.0
b Per,97.5609756097561
11 TAU(3) Eri,26.42007926023778
V 892 Tau,140.0560224089636
HR 1890,454.5454545454545
FN Sgr,5000.0
AW Her,212.31422505307856
9 ALF Cam,1428.5714285714287
HK Lac,151.05740181268882
DM -05 592,219.2982456140351
RT Ser,9009.009009009009
RX J0251.8-020,140.84507042253523
V 509 Cas,1700.6802721088436
AS 296,1798.5611510791364
HL Tau,140.84507042253523
CU Vir,80.32128514056225
RX J0446.8+225,140.84507042253523
VV Cep,1100.1100110011
L1551NE,140.84507042253523
Alnitak,454.5454545454545
PSI Vel,18.5563184264242
DM +03 1007,144.3001443001443
BY Dra,16.420361247947454
EZ Peg,129.5336787564767
HR 1957,164.4736842105263
Pe 2-16,10000.0
MT Ori,454.5454545454545
47 Cas,33.557046979865774
V 478 Lyr,28.011204481792713
SS 1-117,10000.0
RX J0333.0+035,140.84507042253523
SZ Pic,194.9317738791423
Lk H ALF 101-B,140.84507042253523
43 KAP Lib,122.54901960784314
RY Gem,323.62459546925567
V 1005 Ori,26.666666666666668
KX And,446.4285714285714
MM Her,184.50184501845018
DM -12 4980,2000.0
TY Pyx,55.83472920156338
RX J0452.8+162,140.84507042253523
LX Per,100.0
DM -12 4988,2000.0
Arcturus,11.254924029262803
BI Cet,65.74621959237344
AR Mon,276.2430939226519
DM +36 3987,1821.4936247723133
PW Her,232.01856148491882
Betelgeuse,131.06159895150722
ROC - 15,149.92503748125938
AT Mic B,10.224948875255624
V 1379 Aql,235.2941176470588
DM +35 5110,134.9527665317139
ROC - 16,149.92503748125938
